p,n,x0,x1,y0,y1,xm,ym
267,4268,323351.64688932244,358951.1875008027,588009.3323400475,618972.7176695664,342836.0359872782,608517.500662816
270,7890,240462.80831215874,267397.2789555638,428743.26238430315,457753.2212461281,245746.36618810182,446885.0650802401
271,9554,224708.2954675678,243184.0169494865,440454.5302107064,458243.95724309096,238070.99402550736,448937.4574323306
272,15043,258342.31339531962,297758.0134759877,468664.03668378736,511912.15132828837,281641.1982022114,488196.46703716484
273,10244,282620.8851334358,317588.9835183218,471207.41606517375,516784.9063717127,306596.13413386425,504651.59826216067
275,4391,247496.53615530577,278447.17519617814,419729.40080134437,444995.27572677087,264925.7626553577,431194.5558728579
276,5022,244230.9920035638,279626.09468936565,398303.45667961333,427665.79374673154,254188.79032313876,411864.1681666656
277,6053,254024.81844522964,294308.1767320351,379982.9697172204,412818.1468162227,270948.88703873835,398725.53057038115
278,2444,248556.34915074887,258169.16188505013,456692.1523552498,471432.20832054963,252636.31687052007,465202.80835008656
279,7146,225944.4500793994,250933.70429692778,461427.403472148,490001.3572571494,240536.32658209314,477242.46833620704
280,6053,255462.6503320509,292194.54141339095,446055.7502791289,483191.36531841743,271597.0103607923,466876.4234720693
281,9836,239698.38663791245,271149.9595444531,470895.290387155,505828.62622382026,253221.6126261246,485341.601821219
282,4327,309434.60998174973,345591.13681284315,467952.12254738,507368.10222702904,320225.4521451127,492623.5821759699
283,3901,233649.44393949793,244477.13631056173,428111.25137406634,449870.0239767304,241479.87503292994,446002.7762262281
284,7487,229226.87696379525,254679.38771308988,449709.28722875705,464252.2007537485,243389.52709612017,456894.3521117554
286,8255,191200.09971368546,224914.27641729242,409227.44510351494,450916.73647804104,209759.025750104,430430.3532460171
287,8630,145836.98182931042,175444.93365000002,397262.66110520426,435102.75633949984,163731.54797494496,416550.2328815999
288,14553,185486.64287297562,210617.2581291017,450465.6654309757,482083.49976372544,201153.76591907337,465482.0262256197
289,9643,140042.4790262377,167987.0996228397,444867.9568262985,490692.49678286817,151208.65795029298,464832.978894925
290,7831,200014.62812200174,228690.26089474448,386104.61289786454,414704.5217412751,208900.39535878424,399449.7319816252
291,2048,219148.17580156773,226086.9941084836,404024.17536622426,415413.60819465533,222292.61842970393,408569.01341527665
292,4544,228850.1602648723,254010.57633738912,376326.68512726226,408094.05207769957,243630.98745023904,391729.4757481574
294,5845,171979.35627636372,205972.91979527535,386382.77131502365,421114.5403157702,188477.00197116155,406983.15715632896
295,5807,154406.00517074717,187493.99608267786,377698.9567478909,398729.56440508063,172100.87325320608,387198.5627444432
296,4436,171776.9403975155,202447.0725480485,414108.96551520046,441450.94877961965,184660.18489859707,426505.62134189164
297,7668,150199.46993697988,179509.2478755552,430651.3898724505,452611.4267150685,169537.5245358114,444143.255090566
298,7383,162991.94655596837,195685.94415242953,437294.25917723856,466900.47071836144,179863.4941652562,454208.5011964772
299,5412,122632.69333840784,148495.9447890407,422289.0321284738,485532.4865000006,137434.60532419244,461163.2752066512
300,12053,148589.0407576427,187315.86372796993,462646.74426513916,494911.93443071324,168816.58155260098,477770.7275485436
301,9382,201158.9979202593,237406.67998156563,450271.11151263746,476136.5107477371,214242.19835371024,464763.811848528
302,12576,207137.51489332895,225667.07880425634,465370.8705075578,485632.07976620283,211802.9139526253,470474.66477950604
305,9118,205205.71227779207,219343.59685190726,350358.3255043088,360316.63058591314,210539.94771756296,357450.2401299096
306,8823,199839.50165662204,220731.36468690005,356352.7524500082,366999.0521567614,211120.436065934,360960.8232791923
307,16038,145652.53006681148,192255.4057715396,356217.0503127338,384244.9863640101,174313.17596745165,374074.0838230015
308,16166,187032.50640831992,211970.11579923678,365294.1757833331,394443.41831538535,197182.98639708775,373874.87007032125
309,11041,174228.84620155292,210394.23148392182,319042.7048716606,351260.4346387577,187552.70599999977,332266.39941463654
310,9189,216925.9406999997,259006.2247665855,301032.403560307,329181.97784521745,235023.64803527005,313271.8837329666
311,10586,153214.59380190246,206106.07750231662,343321.20511415636,368193.4967510392,189944.22670421874,357455.1521950377
312,7989,199631.36545830098,232364.22796124348,335820.0449332007,392109.6737448551,213358.32896009792,369545.526000697
313,5046,224869.01295215276,255752.640675994,337089.7966672629,379066.30471293745,238226.60722528544,355337.9633826377
314,4016,248141.1695207308,281294.11895000003,357840.51383834635,384109.29819999915,260405.03490572725,373715.60901380575
315,4579,233096.16078652593,259743.62599865557,319373.89200349513,360160.46758467786,248670.36916828598,340293.06258824887
316,5412,207739.23994999984,235914.13244052083,318492.2886826236,352420.38520000037,224971.3683926678,333912.03727149055
317,5346,190834.23318430604,225757.32001312578,301402.26033746806,327444.53385077603,211835.80777873233,311087.7336105687
318,8731,148694.4918999998,179471.9636441717,300778.2331634383,330782.72932116024,167895.83381777414,315797.6444037049
319,8466,132509.7106212632,185008.15263578307,330399.97832481354,357957.13427808945,172368.8207364111,345786.2141323531
324,10103,140709.8410803195,150400.35160820285,239618.2954500001,249808.82857498864,145207.33517696682,245446.85723809787
325,11190,246295.1376456148,273593.1866216038,212819.28694999963,256731.01532406168,260868.328055701,240535.71527530043
326,11791,217050.49277703738,255514.39915789143,249145.07131877047,288048.28544696956,244645.5541875077,261655.8633306682
327,10174,157162.54647722485,190854.95386570855,252708.3693316755,279485.4702205707,174283.51265863152,267984.4947038354
328,10360,248239.3461710472,271689.2599875103,255466.30635534006,287441.88605806034,262830.6416711815,262726.5851534632
329,5808,188040.93775999342,209097.9395797446,281145.976165122,316236.9717661499,198685.87175744824,301625.5094398593
330,5039,208917.14886510847,237020.6742371869,276331.3778398753,303736.2463164128,223310.01064492713,295820.3708206543
331,3311,233546.64945220467,256736.28176442476,280334.9918876572,307258.5680882584,242264.5190710739,291238.186754747
