a_LINK_ID,b_LINK_ID,a_T_NODE,theta,nx,ny,target
1320029401,1300009503,1300002804,90.18262515173113,385899.2767447417,281412.4700276787,부산 초량동
1320029701,1320029501,1320009801,90.5757431114888,386000.84433804237,281708.0662520392,부산 초량동
1320029700,1320029600,1320009802,90.2233906218164,385996.92394934717,281696.72465940006,부산 초량동
1320004700,1320004701,1320002402,104.36842817873327,385777.1488219277,282054.97298832436,부산 초량동
1320004700,1320005200,1320002402,168.5342702814902,385777.1488219277,282054.97298832436,부산 초량동
1320003500,1320031400,1300003101,131.08934527951897,385621.4752888693,281432.21715900913,부산 초량동
1300013901,1300009601,1320000112,94.43692934882951,385825.87477642845,281412.84175215417,부산 초량동
1320031402,1300010601,1300003101,108.7241506167773,385621.4752888693,281432.21715900913,부산 초량동
1320031701,1300011401,1300003008,96.96293467383562,385534.0823565062,281492.209633193,부산 초량동
1320005002,1320000300,1320000303,90.20722195859787,386018.3951286991,281958.63220740133,부산 초량동
1300009105,1300009104,1300002704,106.83749475386293,385374.8492999999,281494.19030000083,부산 초량동
1320005200,1320004600,1320002203,93.02769143245408,385836.0787766933,282036.09387214994,부산 초량동
1300011100,1300009400,1300003502,114.6954973372405,385344.47305141966,281734.0441722664,부산 초량동
1320004801,1320031401,1320002103,149.7785095695228,385798.30762644764,281908.00766046986,부산 초량동
1320029300,1300009502,1300002807,90.92151434150739,385887.9985992416,281416.57362240576,부산 초량동
1320004502,1320005000,1320002202,92.2700372881654,385846.6960415459,282032.03267988964,부산 초량동
1300010200,1300012200,1300003002,90.85035057820099,385546.69399014936,281430.10439484904,부산 초량동
1300013902,1300009504,1320000111,93.4595046703756,385833.3268586382,281436.4661341765,부산 초량동
1300008702,1300009700,1300002902,90.36699659893591,385488.99372195423,281414.1780367895,부산 초량동
1300009201,1300011400,1300002703,98.32926202261216,385386.08545925026,281495.27122555923,부산 초량동
1300012202,1300011301,1300003006,102.77965789196654,385549.8283168632,281500.51867834653,부산 초량동
1320029501,1320029801,1320009804,90.5685352724885,385989.2364370221,281711.94856145553,부산 초량동
1300009104,1300009204,1300002703,90.48148530500367,385386.08545925026,281495.27122555923,부산 초량동
