시군구,조각,유형,번호,이름,거리(m),반경안,집계기간,일수,일평균 승차,일평균 하차,일평균 승하차,평일 일평균 승하차,시간대 해상도,평일 최대시간대,평일 최대시간대 승하차,결합키,출처,비고
서구,문정로112번안길,도시철도역사,110,탄방,670.8,N,2026-07-01~07-31,31,4516.6,4872.0,9388.6,10637.3,1시간,08-09시,1597.3,역번호 110→1110,공공데이터포털 15060591 (2026-07-31 갱신),
서구,남선로9번길,버스정류장,DJB8002870,한가람아파트,340.5,N,2026-07-01~07-31,31,410.0,248.1,658.1,723.6,일(시간대 없음),,,정류장번호 숫자부 8002870,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,남선로9번길,도시철도역사,109,용문,709.3,N,2026-07-01~07-31,31,7251.6,7335.8,14587.4,15595.9,1시간,08-09시,1794.8,역번호 109→1109,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,계족산로5번안길 22,버스정류장,DJB8001744,법동전통시장,132.4,N,2026-07-01~07-31,31,208.8,519.5,728.3,818.3,일(시간대 없음),,,정류장번호 숫자부 8001744,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,계족산로5번안길 22,도시철도역사,104,대전,3954.1,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,계족로608번길 30,버스정류장,DJB8001744,법동전통시장,159.4,N,2026-07-01~07-31,31,208.8,519.5,728.3,818.3,일(시간대 없음),,,정류장번호 숫자부 8001744,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,계족로608번길 30,도시철도역사,104,대전,3842.5,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,대전로1375번길 22-14,버스정류장,DJB8003011,회덕동주민센터,106.7,N,2026-07-01~07-31,31,154.2,75.8,230.0,264.5,일(시간대 없음),,,정류장번호 숫자부 8003011,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,대전로1375번길 22-14,도시철도역사,112,정부청사,4104.2,N,2026-07-01~07-31,31,6381.3,6897.5,13278.8,15228.7,1시간,08-09시,2674.4,역번호 112→1112,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,대전로1397번길 50,버스정류장,DJB8003011,회덕동주민센터,336.6,N,2026-07-01~07-31,31,154.2,75.8,230.0,264.5,일(시간대 없음),,,정류장번호 숫자부 8003011,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,대전로1397번길 50,도시철도역사,112,정부청사,4242.9,N,2026-07-01~07-31,31,6381.3,6897.5,13278.8,15228.7,1시간,08-09시,2674.4,역번호 112→1112,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,청자마을길 28,버스정류장,DJB8002777,태양마을,315.6,N,2026-07-01~07-31,31,28.0,14.6,42.6,48.8,일(시간대 없음),,,정류장번호 숫자부 8002777,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,청자마을길 28,도시철도역사,112,정부청사,10180.8,N,2026-07-01~07-31,31,6381.3,6897.5,13278.8,15228.7,1시간,08-09시,2674.4,역번호 112→1112,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,태양마을길 28,버스정류장,DJB8002777,태양마을,157.4,N,2026-07-01~07-31,31,28.0,14.6,42.6,48.8,일(시간대 없음),,,정류장번호 숫자부 8002777,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,태양마을길 28,도시철도역사,112,정부청사,10162.2,N,2026-07-01~07-31,31,6381.3,6897.5,13278.8,15228.7,1시간,08-09시,2674.4,역번호 112→1112,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,동심9길,버스정류장,DJB8001459,대화동행정복지센터,293.8,N,2026-07-01~07-31,31,37.7,103.0,140.7,163.0,일(시간대 없음),,,정류장번호 숫자부 8001459,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,동심9길,도시철도역사,111,시청,2654.8,N,2026-07-01~07-31,31,7524.8,7809.2,15334.0,17296.9,1시간,18-19시,2190.6,역번호 111→1111,공공데이터포털 15060591 (2026-07-31 갱신),
대덕구,늘봄2길,버스정류장,DJB8002361,원명학교,347.6,N,2026-07-01~07-31,31,77.2,23.1,100.2,117.4,일(시간대 없음),,,정류장번호 숫자부 8002361,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,늘봄2길,도시철도역사,111,시청,2882.9,N,2026-07-01~07-31,31,7524.8,7809.2,15334.0,17296.9,1시간,18-19시,2190.6,역번호 111→1111,공공데이터포털 15060591 (2026-07-31 갱신),
